price,location,id,size
NA,NA,9713012,NA
295,"
                            Heinrich-Manz-Strasse
                        

            96052 Bamberg Ost
",9713013,15
550,NA,9713014,12
NA,NA,9713015,NA
NA,"
                            Streetz
                        

            Postalz Hintertupfingen 
",9713016,NA
606,"
                            Wespienstr. 21
                        

            52062 Aachen Aachen
",9713017,45
670,"
                            Wallufer Straße 6
                        

            65343 Eltville am Rhein Eltville
",9713018,16
NA,NA,9713019,NA
NA,NA,9713020,NA
750,NA,9713021,NA
790,NA,9713022,25
500,NA,9713023,15
375,NA,9713024,NA
400,NA,9713025,NA
500,NA,9713026,NA
NA,NA,9713027,NA
870,"
                            Wallfahrtsweg
                        

            53115 Bonn Endenich
",9713028,19
NA,NA,9713029,NA
NA,"
                            Bornstraße
                        

            28195 Bremen Bahnhofsvorstadt
",9713030,NA
1290,"
                            Häuselstraße
                        

            67550 Worms Abenheim
",9713031,70
NA,NA,9713032,NA
740,"
                            Weinstraße
                        

            94469 Deggendorf 
",9713033,65
NA,NA,9713034,NA
NA,NA,9713035,NA
NA,NA,9713036,NA
NA,NA,9713037,NA
NA,NA,9713038,NA
NA,NA,9713039,NA
NA,NA,9713040,NA
497,"
                            Streiberstraße 3
                        

            06110 Halle (Saale) Halle
",9713041,50
900,"
                            Hütten
                        

            20355 Hamburg Neustadt
",9713042,14
NA,NA,9713043,NA
NA,"
                            Aroser Allee
                        

            13407 Berlin Reinickendorf
",9713044,NA
NA,NA,9713045,NA
NA,NA,9713046,NA
NA,"
                            Am Hagmättle
                        

            79117 Freiburg im Breisgau Littenweiler
",9713047,NA
NA,NA,9713048,NA
500,NA,9713049,10
NA,NA,9713050,NA
395,"
                            Ulmenweg 1
                        

            77656 Offenburg Uffhofen
",9713051,17
NA,NA,9713052,NA
412,"
                            Günthersburgallee 50a
                        

            60316 Frankfurt am Main Nordend-Ost
",9713053,15
NA,NA,9713054,NA
500,NA,9713055,25
412,"
                            Günthersburgallee 50a
                        

            60316 Frankfurt am Main Nordend-Ost
",9713053,15
NA,NA,9713054,NA
500,NA,9713055,25
NA,NA,9713056,NA
390,"
                            Oberer Markt 2
                        

            87634 Obergünzburg Obergünzburg
",9713057,42
1110,"
                            Oppelner Weg
                        

            40627 Düsseldorf Gerresheim
",9713058,65
1100,NA,9713059,50
743,"
                            Hacketäuer Straße 34
                        

            51063 Köln Mülheim
",9713060,46
500,NA,9713061,NA
NA,"
                            Borsigstraße
                        

            50825 Köln Ehrenfeld
",9713062,NA
